District,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ghaziabad,377279.4965471176,381684.0730633682,351909.7807561485,357468.2821865971,372277.37727397867,352102.27166648285,373194.22225280775,371228.99376452976,369346.3264709132,401497.5806816858,377671.626609539,379856.4414829753,397873.42152829637,389782.96381067106,411388.2829885287,412487.955053343,412657.0295831903,425538.90834377304,408862.4215733817,462516.4550359426,524902.7403788402,529997.8420374404,527133.8773945151,543444.5952361748,562786.2761056398,573272.1490606889,582543.833683354,626518.3363608607,578111.614361741,586946.4408471374,643330.9068301636
Ghazipur,398443.08847908815,354561.21336778783,352786.55320746155,372125.44927182415,397117.1581181074,223802.9048468779,291277.64196570456,193262.07285227804,232011.80368306985,295884.9753372808,230527.5074353907,154665.09154893443,306245.1312293511,207580.7739479414,312199.88108265446,232889.3302407282,205795.42294035488,199139.07501359205,346880.61916274973,433732.3694187154,299454.4923847141,249591.2276672701,563434.4664864432,566072.8895145628,595276.9782178105,807156.3558543185,1182770.6464241876,910774.2554431822,917974.9471855423,920673.2827710127,1085001.7158012202
Gonda,227239.7681047543,227523.486626905,1292638.0926500044,391410.1148437864,227824.4747667026,262672.45761264896,224238.9190436073,215193.38663067642,233869.1266826313,391540.46372547164,236612.1878554033,237501.75880532424,233350.20886064044,239692.61544776705,243422.5261840458,371918.37547825323,317242.06979471375,288406.3932786079,342527.27257271623,297532.4155397553,232160.6991879892,343438.60659049853,577229.8309734439,586882.2772103593,625907.0911004519,839336.2844759679,897695.7955792286,935478.0889941169,900523.7378145689,909669.0367576125,825219.7034773523
Gorakhpur,295129.7394450259,316519.1130845283,346559.7160111586,371333.2943727377,369310.63217309053,295571.584576403,369934.5475339198,314749.9287276145,372251.3094314695,369254.52898384957,367846.661590386,349466.40400198795,341593.2492024,369570.27603549,370641.3072149791,375521.93896181695,387595.24308536184,378357.6484235903,422485.93849723,390033.88835013245,379913.05645660305,398036.7735511521,623453.374444822,630136.2772338535,815656.9092702369,1080585.4558237556,1163052.1950216454,1070940.461374417,1052751.2855269595,983645.3369874923,1038877.1204171682
Hamirpur,399805.85673719476,140328.03641232903,137340.30387027384,224490.3849595841,162429.59647990816,220552.22987434143,200864.7567554325,192787.44444265068,235633.91395039324,223476.36720364602,239114.26447961168,232480.3902623827,244299.34506847555,194386.85683085737,205268.56853845072,239263.41785541,276557.3735332704,221181.75859983507,235831.42639404943,224974.74813078888,199425.59795329082,301110.1579488137,562265.5791970816,563670.5890638978,562608.2652809288,641840.4673964685,651427.2315581043,630079.9542046398,629127.5294965692,669607.3636610071,657859.7565899879
Hapur,241263.5606745809,350793.66375585605,240705.47997709143,351060.0190062477,333584.8825972551,230739.84118370494,369436.43002023856,230732.2925205546,226646.6108763048,343192.46913844673,236636.55289187774,236714.48950093228,249162.19859964048,240682.37865188296,241054.60349478608,425791.5013205909,247291.58264093415,350641.98609229346,370199.5379321158,353777.6609379262,305972.9332420878,305951.51127435063,407099.27918400714,414069.2094981975,448207.9145639751,576273.5950241982,535106.1689286935,518297.9637182988,505381.4095586571,529835.2770100915,565530.7362347777
Hardoi,203516.83637028933,218807.97787050353,205148.02304634755,230815.1507681211,252210.4774878024,204609.00693571087,226665.48253418072,303893.56549117825,371081.79483309767,306221.0432095127,230802.36159535885,171300.33755917172,238406.72301606057,236860.39897806259,230437.93555000995,296036.30258504866,296351.7168864725,239449.257288133,246976.7589848532,301023.29752090183,298878.26778712525,245683.56299306112,764843.1738645813,841577.9882845493,825289.1107714657,1212429.4634541802,1081984.7241948212,1006647.3953218916,1162402.7478008338,1063189.9019849666,1023525.2288688882
Hathras,232693.40048436212,232011.80368306985,230664.79020752283,231473.93048598382,231366.42944691703,230576.227459249,241813.85356179232,224448.48345821304,231662.67750336963,221398.49573689417,373190.40622324933,223089.82853054916,439409.6720291772,357307.3399457343,345088.00481272454,288191.3269263245,296460.46262861387,348761.94677195983,379677.059086153,375584.88535985583,398010.3532301258,370390.40982828144,482490.38924087636,448113.5562745956,462414.89065760263,525390.1746035102,522392.5337405144,541824.2160517502,534418.8382204188,514108.9755560138,522365.1138469831
Jalaun,225734.91640968024,235656.55993984433,240021.2064866059,250219.18774186913,220887.71709414385,232619.55000406693,224194.05380952696,343861.12740117166,295125.9651134507,296334.770982769,315129.58554029855,287766.8160381377,295759.2743269871,230546.93059998052,312077.93294586736,335106.59719326464,234285.651890907,141914.2287432663,246290.52099524942,324370.97949289967,239895.20449394628,239853.2191915377,582357.8538444021,611643.927191716,634116.7602377575,731695.7167526865,806788.0530061211,819688.1066701487,755123.0628153532,842884.9098721235,897778.8308738827
Jaunpur,370991.63312206,387245.4898668341,374054.201243428,369369.21514563286,347312.4209338879,231252.76523529532,316622.12268480397,231688.2661277648,369775.54240629653,382099.9412869555,295477.22628702346,628738.0284518128,285912.95221290784,224849.6217977167,233538.24362433815,344459.28575956344,230149.5412305561,370432.17661945446,348064.83692915674,372384.3476673889,363589.0703584277,309714.31933940534,580748.3658066218,585686.855505872,706727.3757675495,947696.9236557543,949325.1578365316,1482011.978295453,1809063.009703695,988104.4233842287,1050374.4342746802
Jhansi,398074.0973158188,291285.19062885497,288323.35798395384,402626.83714223857,369456.8919191817,304067.1847436367,366227.75150305853,368141.36071174656,365855.735727717,375524.4960546529,373025.9865683491,369562.8195950701,383810.34811971476,352843.1681810894,371079.7925827988,379090.8204111008,371252.7978609042,373322.549526364,408956.2893570249,387143.58291430416,395106.27729408344,403748.14994542586,806637.0797431138,762604.4052340485,841411.9490652926,949249.671205028,1062606.7465592467,1182916.5895446034,1129691.0259635786,1061823.8412553542,1030468.9053326711
Kannauj,137355.40119657456,152246.20863579982,153521.15329863437,198054.41001002537,192080.10692003646,128238.03344388439,152237.08527786218,138882.8857812632,163888.2219167544,193262.07285227804,166085.12687582205,146486.44410173563,242604.56008586028,248535.00693642095,254936.9052204929,288076.34947099764,288673.96405961906,248182.43535508178,239767.65267328228,274363.18253742316,381466.45159223076,363444.94677329,468392.78859293944,559893.4578044909,510623.4418149102,529577.9124422511,524758.3007815024,574971.9463888193,505000.59865331766,525663.3373559884,573416.2697773105
Kanpur Dehat,204911.74513619693,195404.49919157792,763927.9057234945,232010.83894285242,231808.98873567034,233298.0317184343,224853.39612929188,230528.5963344573,230896.25694575335,244313.79985266973,215067.29516539656,266232.6092685999,206946.98522353978,204921.5781773257,311225.20305616636,231124.7287814126,231279.61982068783,224092.14277268795,232164.52048866366,230535.05609854104,231673.63145567887,240967.26376564833,564099.3164210126,516330.1478064971,529529.8909165404,588190.0744221876,630760.729177792,704304.5862305943,636018.0338110504,691032.7699954424,845714.5439561651
Kanpur Nagar,386211.5169536827,412087.0555106297,401816.778108183,419681.05166337645,409398.3766570577,412288.73440087837,408868.40735454176,404882.94609686895,413725.7777187186,460218.92892215884,560551.405856857,413997.497198269,412441.8926834049,410376.680040542,411587.3518172085,448654.68168528756,484747.89165367413,500942.7991754061,501914.1970284567,429876.01439994265,442678.26714799646,437012.67326588556,644117.153870399,673628.3342405198,729447.0462471299,848342.42828164,909680.359752338,1478743.2108584512,912457.0402251785,910135.7899248009,952461.4693175891
Kasganj,138411.81612974338,150267.7756010617,158840.19677687733,208059.38345693573,159361.68125948132,101542.33675306973,147059.1521939206,133531.4495776112,153022.66809233045,159016.8935002703,153194.0074999746,154245.0803912218,163258.9135276668,99099.79214765139,106131.21787095237,139688.2950261353,399832.2770582211,98281.60295229703,303991.14347842167,123970.15477605253,166657.06400963038,158172.95044619532,366106.97289265273,372077.3377004939,376456.8645038092,438997.8234611259,452337.08022121736,504603.6651448423,440530.06331250886,441390.14107766264,538690.8421143276
Kaushambi,243209.50374675918,221362.22973193138,221303.85038477476,370259.92723731865,356720.7169099138,369775.54240629653,286962.8325432669,398089.19464211963,288376.1986260065,288825.397881778,295307.0777895649,359554.65595368046,339320.1645805935,352157.9653383107,349588.8543057569,305707.1223135875,296682.1006159705,298984.593627392,348992.180998046,316272.67014962074,350509.41284471075,371941.0214677043,531499.7119563703,516553.6221751692,556094.7772667393,571881.5861611573,564241.6255928591,573067.0926459403,583116.1779405421,579561.2488586907,669607.3636610071
Kushinagar,239301.42748790982,231423.78236274832,225731.14207810504,223050.9143835265,246488.91657562144,230549.80713822274,238327.76347190325,164627.48168924113,231916.37000783606,247296.50992863424,229896.25128475414,308334.4601548659,203516.83637028933,290320.262462133,265131.8068246239,205213.11656585624,232375.49546148683,286506.2931399773,217431.8548704652,347472.5236035877,259645.953060888,249583.67900411974,448760.3629693927,434869.8041994763,507881.96787240123,573787.8268512079,577632.6274413598,624120.4626612273,630798.4724935438,632227.6372368104,765567.8703921735
Lakhimpur Kheri,246328.26431100126,241171.52585744913,317306.2334314918,401385.57614919456,315156.00586132484,230638.33588917294,296286.41644288215,349145.6290587539,287008.1540606367,352699.74358123244,355472.70168088377,233306.95479136286,244429.87644996727,392940.4926921609,432101.99122472684,607957.288710205,526342.2282512445,353485.56867035246,397105.2830586165,406990.4069611863,288825.0587434159,288753.08389662666,961681.5266440542,947195.9345923696,955452.2771714963,1126289.315903225,1123649.4713604834,1140353.8981045103,1134216.6993776204,1128841.9833076152,1159938.2588570155
Lalitpur,105538.90714641241,133384.15044562603,122757.08802629187,137351.6268649994,143146.97862684898,137753.68009266927,152221.98795156143,148856.02129763595,212235.90169706024,205155.30046113988,205166.62345586543,162793.81712628095,208600.42370293746,163039.14543530086,152490.21633898737,194092.89538537952,198428.20382489637,197212.85550010134,350930.20955954725,203258.05587835735,194090.0702148454,214144.28932419248,570940.3124091935,619508.2141375834,626001.4493898313,764712.5916845449,997568.4091656472,847240.2010062201,669767.065623784,765862.6130483435,845457.8894090526
Lucknow,408289.0547384922,417910.86743724433,412379.85734314093,525714.3807276561,525714.3807276561,541663.3908922017,537708.7821675144,567787.2496998652,535261.3189871014,576348.7563812439,572075.4329044453,566684.6223632459,572894.7851293698,576484.8955617266,579526.4612163742,631349.7864204593,602046.5488185453,900295.6373497742,810595.5655380716,904758.3468253774,831386.0128271676,849992.3524142159,1081635.380731995,2740827.090522745,1059355.1933699122,1032984.6848573572,1063866.8952233726,1055373.493613688,1044293.962848445,1083560.47256384,1125431.8908608211
Maharajganj,145548.73447317138,163337.5398151014,166649.51534648,210049.11513744903,237998.8545636125,135115.29927618286,145982.18557325494,122354.13385696866,149609.84927163812,207514.04213165437,204857.9758857284,314893.1077441973,165994.10421337272,136091.59225687585,158522.83236612394,152206.89062526068,224313.11486847725,165265.55359906066,232267.37662194204,206789.66572621895,158840.25702751614,207192.33188716695,519644.81916843477,508941.2095446216,513060.620189774,580680.4278382686,941611.2680520058,614015.7740080679,573198.6263878209,597486.8810886815,715883.4021388078
Mahoba,97314.00777249697,104009.52252472549,102616.17494171242,144745.49849156334,145055.60936301126,150092.7025751824,145220.95306634577,146486.44410173563,165427.33799588875,149431.7786424812,162418.27348518258,149526.0553692726,162753.2362076392,144195.76769905436,163260.5966792686,193464.9833275196,162787.1339083881,101838.04762170977,194858.03267955792,203623.46786779547,263069.64648848335,282695.07662207336,412785.29147529945,409178.3043100158,430335.83310893615,491371.53466298763,544914.0961844624,547350.484914456,516940.9030527111,527495.9548191336,568200.2759278007
Mainpuri,204557.0920237746,209564.4934528127,230851.42790583623,231797.6657409448,301110.1579488137,163726.53544642052,245957.35105744607,207029.18201053733,262327.49118152173,252433.39308660643,204720.27524117063,202228.8266908961,364046.29416989087,391943.79705114925,313840.5917761664,293711.0790247939,233846.52031387563,166145.85428003187,247094.40502477364,232430.14025132675,373088.2615846738,413807.2635341932,577019.4152968904,595334.1176123107,684450.2794564582,765873.9360430691,745469.7624076692,647343.5740212362,636928.848821128,641384.036869883,699520.5896129352
Mathura,317234.5211315634,345928.2853183124,368148.9093748969,375509.3987283522,398010.4234083707,380091.3170163231,393463.19288741285,438848.9186687062,504852.31182315643,525401.4975982358,514424.4970399171,513622.2816111694,522260.9374694728,505870.8892352455,522589.1098353844,562422.7334015361,573268.1675593996,587037.0248049417,574231.855625319,572814.0098476007,669584.717671556,618170.2240852251,823065.2782123102,926325.3243772136,807103.5152122659,1053382.2319559413,1093866.3682464312,1162440.4911165857,1062716.2021749269,1027937.2500183732,1029298.8625443646
Mau,349986.8166162343,358032.5815593537,333882.0120329088,321863.94924547506,287064.76903426443,221269.83057032837,418422.83660974633,215024.06752483977,246798.815471635,234079.31509378957,232585.71638872672,164844.78519695488,206663.0302503934,206099.14915402234,209337.85719540925,238596.92860999316,225704.72175707878,166645.74101490484,250941.1939982598,346708.0172175574,318929.5612744941,236149.13852332803,565929.5877005974,532066.60714246,566182.345130243,642252.0004704789,633095.8920101988,767009.9280469998,673609.462582644,628097.7484037991,904796.0901411292
Meerut,450650.2552646539,412804.16313317535,409212.27329419245,455213.1243442497,443765.3643430245,469921.8349245147,448287.0949062663,412416.2427534145,416217.4347308897,526146.7001945322,438777.17845811974,413727.18783638434,412515.88814434287,416206.11173616414,470498.93179050926,531245.3093079869,524159.63550325,536793.8747055611,575464.6995571012,543548.8635347713,573670.5027846209,582478.6637631654,690867.7275000078,764571.4219911682,1631044.1180306915,1052898.4844583913,998313.0066398928,966256.4080082113,877051.2315064241,995703.7722281456,1057175.9130172748
Mirzapur,266148.9815510216,223369.74378385165,248065.10735906512,236640.32722345294,359924.66701706685,241378.03959786703,355517.99365978595,230064.10313948523,236137.81552860248,340622.06604078406,236628.24661873517,231352.45475409366,232624.5208276503,232858.79059546188,224614.18787814456,231247.067231779,227266.1884257806,243631.57057674832,328005.64627595193,251481.43670372164,298585.52600237326,317758.60184936057,580753.1452496558,602035.2258238198,684412.5361407064,1072124.9739171017,910067.8519564476,952178.4440790798,1084351.2225435583,1030855.2376194475,1023344.0609532794
Moradabad,240982.78988555018,239236.9975343837,231362.93573238727,349581.3056426065,365091.4014701047,258832.24529908012,380406.8506284336,360313.81975511246,295435.7086396964,306158.2272070775,298710.72678023437,298589.30033394846,355283.5593742404,297878.01694084925,355426.9839740973,383844.3006105493,350756.55450063356,325859.5946234506,377578.530619194,362463.8667242965,381593.25423564855,399910.3737003343,554238.2881732096,518859.8097766349,573747.6932036125,675137.4407029997,586999.28148919,631364.88374676,586058.4463458803,657943.3679766349,716003.6641195734
Muzaffarnagar,409319.9242178881,344537.9343550646,344161.54415980825,381681.66995867016,372574.3294512359,360325.1427498379,358370.65775295836,317023.1585633532,344942.8098244898,398770.3927346953,385954.5413844614,397102.0607918067,372039.59438474214,375578.007300847,381687.8473949434,403818.3689640639,372641.7103887479,392691.5544278387,426331.0244862158,419802.3185814557,487153.194436925,479106.9989352189,585738.2714873368,582076.4364204971,622817.0847454799,776852.6734047729,781376.9798711836,843693.4493447492,767069.8018156016,822930.2934747037,912429.7112733438
Pilibhit,206842.97455964718,202183.5347119939,209341.63152698442,204906.48085102494,216551.24386335802,148487.6527180408,161223.7803265363,170447.0930089445,181881.18536839788,202179.76038041874,205256.5674174983,150321.13740333062,215157.1049264945,206376.92243987732,198422.2923505182,239420.034350329,235824.34666982826,161326.30883135356,232514.35924655932,395643.80479133927,255265.93117558546,207728.05612516473,523518.3112874177,548024.180396976,539629.4824865083,572847.9046640005,585671.8384698572,603303.1264312166,595056.7736207101,575345.5704969796,640291.1562196151
Pratapgarh,241959.35874335957,233698.592622338,343112.4638286987,287240.9184311519,370397.9584914318,318997.81591364,352504.5947179937,225690.74941423358,295348.7099802114,355189.2010848608,240682.5263085191,212436.49746861402,203001.83126450228,193453.66033279407,204310.0195895719,243095.58988225597,234496.14915255547,223836.87383105457,414228.1355998613,298633.5807909,317170.3574947853,408326.7980542441,572522.8327639648,585810.9346920726,692875.5389861714,899388.7121759169,842225.0516102962,850698.5091505679,943961.5935350237,934845.72623854,947747.9509102494
Rae Bareli,243642.89357147386,244736.2214051068,221725.9521769073,241942.37412091705,398945.68497514137,231166.06975156756,234008.5483883277,231692.5031135548,401396.8991439201,335049.9822196369,341274.0383773334,239538.18337676636,231173.93853658272,244280.47341059963,231733.55810666698,372236.2085068783,238081.19833696762,237901.18081889418,297894.1482558149,239159.55645851392,239971.56928426947,342519.7239095659,570002.5795680847,575021.4175220149,584779.1772147167,820563.9533373822,841722.6364924476,818172.9450143451,853892.9793063196,854442.8639270373,794008.2071926178
Rampur,246465.40335261842,231009.6714313473,317773.69917566126,444661.84044191753,299834.4548037504,238506.11746375423,354650.6649361883,245191.828039345,224996.82541266805,295545.16425537673,239515.53738731527,229599.73285604964,236981.16218088288,245191.828039345,361356.097130515,308245.1659289011,391885.35661453166,254230.14099828227,316283.9931443463,342371.79820179316,378457.4483291051,370005.49973775045,531141.3911130965,525212.7810194767,573176.3456788183,665213.4288343131,639771.1156081882,641746.1091070889,628680.5311372792,686494.4824099197,761461.4876173266
Saharanpur,384150.88651606115,358455.79541053885,373724.4858041172,368126.2633854458,371325.74570958735,295736.628337536,368133.81204859616,307407.0681056611,370306.4825199539,409788.08032295766,522329.5243559329,506976.5468193747,513048.82721928926,376234.4182198108,380268.71060035675,511777.59267616784,555376.7366562175,528850.3602644528,412529.47270066995,471806.350198071,424115.76960540324,412337.2517498206,764679.4205065895,746372.792959814,776780.9611048443,946358.9414010878,951756.9246335821,990844.0404289719,897510.3818756389,1105285.185040464,1028738.4738354482
Sambhal,206301.4907604136,208662.71982376045,224097.15503775634,239526.86038204082,242185.08924694115,238256.95127235944,230881.15961945264,232145.64883078772,230411.51522898368,230060.32880791006,293690.8017957852,223891.0257503199,232758.06831846814,229328.2870486046,231166.06975156756,391454.9260662457,246751.64971857742,223891.0257503199,244563.34587411012,233277.41048604852,221362.55254550723,440778.3454874123,444392.33158688893,459813.51885751466,508080.9722187769,571785.0451401338,562377.441422634,574949.7052220865,562763.6301161887,573561.366956697,575496.3558385166
Sant Kabir Nagar,153194.0074999746,162921.41122522068,181881.18536839788,271067.8531548343,145029.189041985,130181.37247347947,136986.989886912,193280.94451015396,205227.0508911237,153201.55616312497,169147.19617734166,102311.46907096922,166118.30130410305,133046.78676665234,145586.0620987657,144364.9454427979,124492.85609743476,203120.5235545789,212600.99754505543,235065.91148104402,147238.71899816993,194100.44404852987,294967.6936279112,288677.597265123,310978.35950789094,373932.9997374855,371499.3649620458,375693.67212190875,383844.3006105493,368649.4253319646,384479.030143251
Sant Ravi Das Nagar,230521.04767130697,230608.14123657148,224293.2977572845,229622.5408156981,230427.622594865,269902.9019709801,249607.4666969923,258103.9116094048,225417.52182031146,231187.25171779972,230986.51299028657,202209.9550330202,194093.8445464206,326540.77776371985,235921.7564202551,231812.7630672455,196496.85632027057,230778.09558130454,223465.04420892044,232106.58057189253,253304.82646669692,231246.00854889487,287759.2673749873,287240.9184311519,315178.65185077593,386132.25599060376,395110.0516256586,416883.42682271,447591.62477408553,455239.5446652761,573926.0188526497
Shahjahanpur,248114.4353377548,1292660.7386394553,250645.5749543945,241769.26461000726,238844.8321741124,204084.05543741622,512092.85378798883,238996.55889296345,235212.236982845,347729.8448455423,243627.79624517311,216155.50302883473,233401.38990305294,239676.91773199182,231249.78288047004,311318.5501265409,352912.2225281135,433450.4238490819,346013.858847226,319740.04453813727,310014.34797570814,365217.13552390225,644800.4642065644,692257.9480038522,688321.1792144895,825181.9601616004,1009881.5310849366,952236.041307629,906059.6302716299,974285.9966465393,1015382.5230747574
Shamli,242831.32350753908,231358.88078376665,232023.5452772385,240986.13542352422,241990.07123745373,165269.32793063586,249615.0153601427,210853.33784690432,231272.80909974102,233985.44580479292,244791.22722854128,236529.20432659748,244844.73031566455,231458.83315968307,231502.4359294316,246391.0811027923,237962.04061762488,230662.91321005885,223394.3778591821,391544.23805704684,308223.88904160174,317019.3842317779,367045.5161094071,353515.763322954,372720.97135182674,437524.7015141431,412530.98547064356,411485.875295673,418482.18055517174,413878.1610993916,437865.878632786
Shravasti,133542.77257233675,123966.38044447736,134681.88059523804,161421.6992158021,157342.95628079533,399820.95406349545,144744.15200239688,153041.53975020637,147505.37571858757,204932.90117205124,156160.8195181314,143211.02046938127,145251.14771894724,138400.49313501784,144401.1492264795,195246.21390707706,199015.44274143837,200130.96012372887,158847.7454400277,275664.6960908361,146033.47808475132,166211.6065663993,437032.82936500484,514124.0728823146,513139.88115285273,584315.4409375841,578054.9993881133,617813.1896987936,578085.1940407148,581641.5142192655,645658.693776687
Siddharth Nagar,134401.0779469495,148445.34892421175,146504.1094285102,166295.52298059824,146732.03103283703,102070.90207793882,126411.20529758705,149605.91144404747,154359.48482692218,121800.74385840252,125187.1803398812,103928.86901245691,168999.94312448124,206924.3392340887,233294.25738685913,231435.10535747386,206859.07744581168,144538.93713470805,232633.01117915916,208126.3336879386,160733.31985151465,143159.79840111046,559140.6640817045,516054.95250594616,560276.2182784963,622624.9445227296,906146.4398978591,621549.2317298884,571273.2542234735,705766.5734505276,676646.379036888
Sitapur,257904.24061076017,215799.66243122064,299244.6519035108,230672.3048733496,249828.6669225241,211269.76611595764,231558.85749991532,231329.80876464257,249196.7083327854,242276.70266768185,228384.8504068877,207690.40228471125,290289.1893525638,228467.51344606807,268334.9961018195,373257.38769495767,401561.7443184639,306173.32453337824,342349.1522123421,348818.56174558756,250343.36509385085,268131.168085685,667260.9918217546,764545.0016701418,820830.8519856102,941687.7178290632,945563.6177310408,1058804.0172247011,2156913.039673617,996258.4054594027,1043637.2291543633
Sonbhadra,372213.5625174272,442852.7975240862,397334.8511637932,305876.024642847,298675.098438227,298593.07466552366,342604.0353301671,298935.52731691464,347338.8412549141,348969.5350085949,372132.95260843425,355140.13477438345,373716.9371409668,355249.59039006365,315184.72263873817,396451.406639422,351756.72359963256,356335.0983701946,373910.3537480344,409636.81478410796,412263.2408195814,382231.3706003635,747125.0353145559,938339.4484359288,782682.2777302935,1170479.249372853,1031275.822512043,1035192.1059970636,1158759.3554091991,1027024.4101160519,1122054.7411776825
Sultanpur,232463.8117252145,234656.03185959812,246776.1694821839,248907.5105285195,242814.50977485045,226720.4673047769,243201.95508360883,231295.4550891921,258297.29780880595,239283.15478663717,196008.5355938503,159299.4023948794,151481.9111462851,152647.5643269691,147270.0481532259,203742.1195178982,157346.7306123705,321554.20251430926,248765.07886628108,244298.70252636902,274387.099634843,212501.8717955239,436382.7091978016,451979.41216996155,499801.666687573,565526.9619032026,575594.4884594715,580771.0117960729,632546.6648116675,634101.6629114567,639913.161923203
Unnao,245964.89274943818,244833.40732093898,225081.50073929946,237784.3316264355,246838.30605107427,231730.68219101938,342394.73305244214,241687.7570998016,287228.1600164889,528769.2660548008,245179.98104811882,240076.84258404668,239215.2243444405,230764.6482188496,250641.80062281934,289498.6172819226,315601.7956732397,295964.5902851201,299345.3813530531,445035.1462512403,352708.03513015364,393389.1048864958,622747.9543966708,651812.344237568,773816.722371369,1076394.487902689,915313.7717488486,963414.8012008924,947627.332809677,968002.221665049,1043410.6138456423
Varanasi,369464.440582332,384113.7101834323,367053.06477255747,376055.3923842612,373015.41194847436,358045.93288903125,370005.49973775045,371379.9670275371,377056.98322426324,387181.32623005594,376929.5312961302,352715.957286204,352761.24926510616,355134.45308111125,349685.888645373,367613.07404260867,372777.90687308385,375207.4522023376,376514.90155551047,371229.87972433475,415630.1607678248,409659.1304585347,559208.6020500577,556524.9085509346,529282.5079028442,636038.2336035852,718394.2887197767,715969.6951353969,694646.7760945461,832667.0637433607,941615.042383581
Almora,101427.3943875456,105370.92283614266,96284.45133237766,153645.36454041873,143452.65443677342,103895.16386370514,143083.75969687794,211554.0941328568,208284.24162305737,151205.22669176233,151428.96761083094,201458.14595951955,236691.84351148116,153197.7818315498,193819.9993554696,236669.19752203007,226238.83091521586,203002.8653060329,343044.52586034534,234043.0096511033,287228.1600164889,289973.7112701214,480223.16625519586,462512.6807043674,414293.55316900514,597182.26886015,544263.612023736,528816.8912553283,474844.77931120986,506885.54458852013,556177.8125613934
Bageshwar,133140.67908893464,90705.64956883772,88025.82329018915,78913.3060441033,84347.01757939851,60267.32294982209,83352.3909536637,96223.11727479745,91648.45315169184,87427.52034350733,92125.50847982526,101542.33675306973,145427.61643618692,90791.6844810052,101712.48200981277,139503.16414076273,136840.72394724007,101774.91866387658,147912.96710900497,147393.81665330424,163926.9334629674,147484.3607097968,236604.99884389926,472279.8456735883,223249.5325774528,371157.28146460134,377526.2911392567,358083.6762047831,349566.2083163058,364011.7419504063,304421.34137804667
Chamoli,54337.02783576172,58306.47879892999,61144.427690367935,64090.38544695329,62221.71895525924,69098.81874131203,80530.40788142268,97849.55433761778,119533.0454766854,126537.92905743152,103831.46994510002,126214.73775214684,153130.56965250082,91576.74085176336,115304.23265762377,161231.32898968668,158174.2843984371,139351.19528097505,205272.34287002592,206312.81375513916,202986.73393820156,159345.97926386047,525265.2937097723,551744.4941139283,441458.0790460159,990900.6554025997,909350.0754638445,891195.5085094487,449085.00561473373,491356.77246666356,526817.789407142
Chamoli,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,85367.97908619685,101224.91121598886,85367.97908619685,54337.02783576172,54337.02783576172,54337.02783576172
Champawat,54337.02783576172,61051.005738986045,59341.18323019894,58344.948689577024,58232.048570671235,54358.05659019868,57958.05139294479,62584.03822409341,60923.498865141504,61332.23701768803,60118.037123508635,59628.77982976531,80923.65230513348,83304.11238998272,88597.56161121542,78683.55674174802,78953.71909686404,74948.51583812678,92987.76431815988,87563.22257946471,101808.88764805322,102303.92040781886,370935.06189939566,295903.84699515667,361090.8055732297,296452.91396546346,288764.4068913522,316283.9931443463,237916.2781451949,299728.6422130862,305943.9626112003
Dehradun,246572.57423253494,242792.8040898291,240851.94528268464,318982.4019165467,305981.48990102153,313787.7511341139,356282.257728142,375037.6072814544,380189.4496372779,390447.2461679031,408519.28896457836,406911.12346821796,443872.71064416895,458890.9673751532,525796.2819708817,522935.0799103935,534933.1115372311,517152.17593929154,566220.0884459948,571038.4375295084,571930.6524716348,573168.7970156679,623271.7768159447,706739.1066802613,675923.210802904,762532.69293412,854484.3815743644,840850.7205277854,846582.8734871064,935538.4782993197,940983.0723452257
Garhwal,105458.20771345317,150324.9117349058,139354.96961255022,165269.32793063586,202770.1125443705,165807.05049015407,205317.08580848877,229331.7093361241,220957.67013552738,221460.1656885032,241621.1875519499,228271.24722451388,347331.66583739157,240678.60432030776,234074.11147603695,285152.55028259713,333566.0109393792,226656.30366799879,288357.3269681306,369464.440582332,365938.22118115594,365941.99551273114,577719.4370675891,618983.845570107,582042.4972741158,761559.452413634,904792.315809554,816415.8486489896,582706.1299410869,846821.2502013748,930295.5001559117
Hardwar,229490.80459788733,244370.4242092568,241640.05920982582,318292.4699843701,237685.27738007205,239314.3530662239,345189.6076609613,371115.6468227436,348916.56272425386,316283.9931443463,369373.19817172346,369926.99887076946,381031.56047136144,404021.2122696754,413418.66702210275,561208.5091334176,516678.172839265,574327.8162736555,534666.728268256,574937.6760991052,602753.8511902931,578824.0236900891,765317.7402617228,765080.5155246664,812506.7030966636,808715.0909936385,841153.817737374,839279.6695023401,809634.1241968869,918016.4648328694,981174.6581426064
