Dist Name,2007 (2004),2008 (2004),2009 (2004),2010 (2004),2011 (2004),2012 (2004),2013 (2004)
Guntur,188051,195305,204328,220464,236138,244520,253742
Gurdaspur,79920,84320,95640,93259,98807,103210,106658
Gurgaon,125527,140890,165269,184333,213975,245224,275474
Gwalior,56969,65216,70550,75847,84012,90777,98866
Hamirpur,15705,16606,17133,18211,18615,19187,19747
Hardoi,43300,47451,47545,51195,55745,59291,62522
Hassan,49794,51607,57543,66135,65148,65556,67644
Hazaribagh,36803,37712,41844,51467,55011,60059,65923
Hissar,101336,109564,120988,125421,134629,143518,155084
Hooghly,157559,162618,174153,176845,186856,202958,217432
Hoshangabad,26074,29098,32127,34480,37198,39888,43375
